grid_id,lat,lon,cluster,neighborhood_name,neighborhood_is_fallback,supervisor_district,supervisor_district_name,supervisor_name,district_is_fallback
103_75,37.79809416978182,-122.42936861701817,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_76,37.798084233,-122.428102429,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_77,37.79777878122857,-122.42699451694284,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_78,37.797884625,-122.425462834,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_79,37.79790831826087,-122.42469482608695,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_80,37.798077966584906,-122.42368697281132,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_81,37.79779464887113,-122.42212251538659,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_82,37.79788386088524,-122.42131540944261,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_83,37.79769595976496,-122.42042810310684,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_84,37.797898466017756,-122.41889343339646,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_85,37.79835618921978,-122.41785956967033,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_86,37.79793424477778,-122.41698125288889,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_88,37.7978830095,-122.414328439,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_89,37.79787087856,-122.41350103079999,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_90,37.79791592910204,-122.41225941479593,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_91,37.79827719290909,-122.41127767351516,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_92,37.79785013834159,-122.4101334343911,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_93,37.79798661277254,-122.40872888413934,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_94,37.79789844196341,-122.40772209098779,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_95,37.798157568489536,-122.40694089541422,3,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_96,37.798013476,-122.405065483,3,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_97,37.79813829960274,-122.40394006658904,3,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_59,37.798934327,-122.447328532,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_60,37.79908456175,-122.44611875425,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_61,37.7987291884054,-122.44528976362162,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_62,37.79924459579439,-122.44438511466355,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_63,37.798564722,-122.442489562,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_64,37.79901312204762,-122.44180355204762,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_66,37.79862239571428,-122.43979575485714,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_67,37.798632846875,-122.43830303474999,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_68,37.79885671701299,-122.43680024123377,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_69,37.79871662233333,-122.43584214666667,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_70,37.79886505692308,-122.43500665015385,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_71,37.79902793491305,-122.43388431941305,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_73,37.79866743897143,-122.43150648628573,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_74,37.798790571375,-122.429983382125,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_76,37.79899702560274,-122.4282868199315,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_77,37.799113907572,-122.426706726912,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_78,37.79880365410113,-122.4257663643146,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_79,37.798526959,-122.42478639845001,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
104_80,37.79877237514966,-122.42336703568027,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_81,37.79922318342222,-122.42246601693333,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_82,37.798850423887316,-122.42129139897183,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_83,37.79900909114546,-122.42015469821817,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_84,37.79918590074359,-122.41874738755678,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_85,37.799194173825,-122.41759979985,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_86,37.798664007583334,-122.41679954425,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_87,37.79869736007692,-122.41506359107692,0,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_88,37.7992499874,-122.4147947211,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_89,37.799045922,-122.413117906,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_90,37.79890074182,-122.41189941873999,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_91,37.79898736277273,-122.41076818592424,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_92,37.798461804,-122.41017785100001,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_93,37.79876972021127,-122.40903333321832,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_94,37.79883808975,-122.407314608375,3,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_95,37.79898056323148,-122.40634508637038,3,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_96,37.79879052431953,-122.40549440385206,3,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_97,37.798704352,-122.4039044912973,3,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
104_98,37.799245329196424,-122.40325921358928,1,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
